template,climate_zone_set,intended_surface_type,standards_construction_type,building_category,construction,orientation,minimum_percent_of_surface,maximum_percent_of_surface,assembly_maximum_u_value,u_value_includes_interior_film_coefficient,u_value_includes_exterior_film_coefficient,asssembly_maximum_f_factor,assembly_maximum_c_factor,assembly_maximum_solar_heat_gain_coefficient,assembly_minimum_vt_shgc,annotation
90.1-2004,ClimateZone 1,ExteriorWindow,Nonmetal framing (all),Residential,U 1.22 SHGC 0.25 Simple Glazing Window,,30.001,40,1.22,TRUE,TRUE,,,0.25,,
90.1-2004,ClimateZone 1,ExteriorWindow,Metal framing (curtainwall/storefront),Residential,U 1.22 SHGC 0.25 Simple Glazing Window,,30.001,40,1.22,TRUE,TRUE,,,0.25,,
90.1-2004,ClimateZone 1,ExteriorWindow,Metal framing (all other),Residential,U 1.22 SHGC 0.25 Simple Glazing Window,,30.001,40,1.22,TRUE,TRUE,,,0.25,,
90.1-2004,ClimateZone 1,ExteriorWindow,Nonmetal framing (all),Residential,U 1.22 SHGC 0.19 Simple Glazing Window,,40.001,100,1.22,TRUE,TRUE,,,0.19,,
90.1-2004,ClimateZone 1,ExteriorWindow,Metal framing (curtainwall/storefront),Residential,U 1.22 SHGC 0.19 Simple Glazing Window,,40.001,100,1.22,TRUE,TRUE,,,0.19,,
90.1-2004,ClimateZone 1,ExteriorWindow,Metal framing (all other),Residential,U 1.22 SHGC 0.19 Simple Glazing Window,,40.001,100,1.22,TRUE,TRUE,,,0.19,,
90.1-2004,ClimateZone 1,ExteriorWindow,Nonmetal framing (all),Semiheated,U 1.22 SHGC 0.45 Simple Glazing Window,,1,10,1.22,TRUE,TRUE,,,,,
90.1-2004,ClimateZone 1,ExteriorWindow,Metal framing (curtainwall/storefront),Semiheated,U 1.22 SHGC 0.45 Simple Glazing Window,,1,10,1.22,TRUE,TRUE,,,,,
90.1-2004,ClimateZone 1,ExteriorWindow,Metal framing (all other),Semiheated,U 1.22 SHGC 0.45 Simple Glazing Window,,1,10,1.22,TRUE,TRUE,,,,,
90.1-2004,ClimateZone 1,ExteriorWindow,Nonmetal framing (all),Semiheated,U 1.22 SHGC 0.45 Simple Glazing Window,,10.001,20,1.22,TRUE,TRUE,,,,,
90.1-2004,ClimateZone 1,ExteriorWindow,Metal framing (curtainwall/storefront),Semiheated,U 1.22 SHGC 0.45 Simple Glazing Window,,10.001,20,1.22,TRUE,TRUE,,,,,
90.1-2004,ClimateZone 1,ExteriorWindow,Metal framing (all other),Semiheated,U 1.22 SHGC 0.45 Simple Glazing Window,,10.001,20,1.22,TRUE,TRUE,,,,,
90.1-2004,ClimateZone 1,ExteriorWindow,Nonmetal framing (all),Semiheated,U 1.22 SHGC 0.45 Simple Glazing Window,,20.001,30,1.22,TRUE,TRUE,,,,,
